ATCG00350,ATCG00340,ATCG01060,AT4G02770,AT1G03130,AT4G28750,AT2G20260,AT1G31330,AT1G55670,AT3G16140,AT1G52230,ATCG00510,ATCG00630,AT1G30380,AT4G12800,AT5G64040,AT1G08380,AT2G46820,ATCG00020,ATCG00680,ATCG00280,ATCG00270,ATCG00580,ATCG00570,ATCG00430,ATCG00710,ATCG00080,ATCG00550,ATCG00070,ATCG00560,ATCG00220,ATCG00700,AT5G66570,AT3G50820,AT1G06680,AT2G30790,AT4G21280,AT4G05180,AT1G79040,AT1G44575,ATCG00690,AT2G30570,AT2G06520,AT1G67740,ATCG00300,AT1G03600,AT4G28660,AT1G05385,AT5G01530,AT3G08940,AT2G40100,AT4G10340,AT1G15820,ATCG00540,ATCG00720,AT4G03280,ATCG00730,AT1G76100,AT1G20340,AT1G60950,AT1G10960,AT2G27510,ATCG00600,AT1G20020,AT5G66190,AT4G05390,AT1G30510,ATCG00590,AT2G26500,ATCG00210,ATCG00120,ATCG00480,AT4G04640,AT4G09650,ATCG00470,ATCG00130,AT4G32260,ATCG00140,ATCG00150,AT3G54890,AT3G61470,AT1G61520,AT3G47470,AT1G45474,AT1G19150,AT1G29920,AT2G34430,AT2G05100,AT2G05070,AT3G27690,AT5G54270,AT1G76570,AT1G79550,AT3G12780,AT1G56190,AT3G26650,AT1G12900,AT1G42970,AT2G21170,AT3G55440,AT2G21330,AT4G38970,AT2G01140,AT2G36460,AT3G52930,AT5G03690,AT4G26530,AT4G26520,AT3G55800,AT3G54050,AT1G43670,AT5G64380,AT3G04790,AT5G44520,AT1G71100,AT2G01290,AT1G32060,AT1G67090,AT5G38410,ATCG00490,AT5G38430,AT5G38420,AT2G39730,AT2G45290,AT3G60750,AT2G47400,AT3G62410,AT5G61410,AT3G01850,AT1G63290
164.73,260.2,7.49,22500.87,13416.28,7967.03,3150.5,38923.51,4668.65,8665.27,11213,7.49,185.32,14174.42,34548.75,22714.27,16943.04,17637.54,531.63,282.66,174.09,136.65,26.21,3.74,144.14,14.98,87.98,14.98,123.55,7.49,69.26,11.23,70570.74,15780.56,42397.85,69.26,13521.11,27236.91,36708.99,21767.06,43.05,14271.77,14788.42,17444.72,3.74,3431.29,1699.73,293.9,29460.79,22980.09,570.95,57798.4,17197.63,65.52,39.31,13500.52,22.46,2375.51,36559.23,21899.97,3266.56,63.65,3.74,5522.26,14284.87,157.24,147.88,5.62,5861.08,3.74,245.23,3670.9,15743.12,11076.34,1334.7,59.9,17152.7,29.95,35.57,31660.33,32564.48,41141.77,56240.94,1576.18,1458.25,32455.91,3597.89,12933.32,10707.57,10986.49,45138.39,505.43,1422.68,17321.18,2113.43,48094.2,21868.15,39939.98,5881.67,4020.95,49363.39,54496.28,1121.3,467.99,1724.07,59.9,761.88,466.12,17967,9951.3,973.42,192.81,1525.64,630.85,50.54,1111.94,35159.01,245912.8,31489.98,211.53,10183.42,14487.04,206603.6,102.96,17929.56,4414.06,4058.39,9049.02,196.56,232.12
160.98,206.2,7.24,19572.91,11408.03,6867.97,2693.29,33117.12,4277.79,7696.4,9901.31,1.81,168.22,12355.84,29703.93,19800.81,14839.3,15526.64,482.95,222.48,133.85,104.91,12.66,1.81,119.38,10.85,103.1,18.09,92.25,10.85,47.03,16.28,61545.85,13851.71,37317.12,81.4,12117.08,23771.1,31272.15,19232.85,19.9,12489.69,12985.3,14450.41,0,3017.06,1530.24,280.36,25095.14,20137.25,501.03,51092.86,14960.49,59.69,30.75,11997.7,37.98,1893.8,31671.89,19088.15,2910.34,45.22,7.24,5104.4,12326.9,110.34,123,7.24,5165.9,3.62,170.03,3344.45,13900.54,9485.29,1222.74,74.16,14882.72,36.18,25.32,27043.2,28197.21,36177.59,50014.82,1385.53,1345.74,28477.57,3065.9,11113.2,9072.89,9485.29,39789.74,517.31,1266.15,15000.29,1835.92,42909.9,19643.45,35074.23,5278.05,3498.2,42381.73,46543.76,969.51,455.81,1626.1,45.22,645.74,466.67,16342.41,8727.41,1020.16,153.75,1419.9,542.64,63.31,958.66,30961.04,216251.6,27283.77,202.58,8781.67,12923.8,181960.5,72.35,15922.77,3820.16,3660.99,8139.55,208.01,235.14
180.84,227.34,8.61,23736.35,13543.95,8141.18,3227.54,39675.97,5101.37,9126.32,11602.94,1.72,189.45,14628.98,36017.87,23242.06,17186.55,18237.14,532.18,272.12,153.28,68.89,15.5,5.17,179.12,15.5,115.39,15.5,91.28,6.89,72.34,10.33,72486.97,16375.36,44057.43,82.67,14177.74,27931.8,36031.65,22477.37,41.33,14730.59,15324.77,17558.56,6.89,3561.66,1760.16,322.06,29957.19,23848.3,621.74,59750.77,17691.18,67.17,34.45,13841.9,36.17,2230.34,37750.47,22549.7,3365.32,74.06,1.72,6007.28,14768.48,120.56,110.23,3.44,6040.01,3.44,256.62,3864.78,15925.85,11335.99,1434.65,91.28,17624.01,29.28,44.78,32075.59,33208.84,42712.34,56965.86,1565.55,1594.82,33851.25,3919.89,13175.38,10855.48,11615,47061.08,589.02,1500.1,17427.67,2123.56,49014.13,22470.48,40836.79,6055.51,4179.95,50448.78,55544.99,1102.25,504.63,1841.11,58.56,830.13,477.07,18679.76,9968.51,997.2,177.39,1560.38,645.85,79.22,1093.64,35895.59,249774.2,32535.44,234.23,10404.24,15040.6,212855.6,101.61,18559.2,4453.79,4409.02,9112.54,266.95,232.51
147.87,191.83,4,19232.38,11262.07,6710.08,2844.16,32680.52,4188.31,7433.45,9841.99,4,146.54,12206.57,29817.71,19562.75,14122.22,14957.48,468.92,207.82,147.87,95.92,13.32,7.99,137.21,17.32,75.93,6.66,109.24,11.99,66.61,10.66,60300.18,13723.9,36321.31,49.29,11613.76,23242.18,29813.72,18359.81,22.65,12206.57,12614.21,14254.1,2.66,3020,1436.07,269.1,25041.92,19754.59,496.9,49400.45,14808.28,57.28,37.3,11271.4,38.63,1881.01,31309.73,18606.26,2844.16,51.95,5.33,5054.21,11933.48,117.23,93.25,6.66,5204.75,4,225.13,3146.56,13424.17,9258.5,1178.96,53.29,14640.43,18.65,21.31,26664.49,27768.85,35415.45,47716.6,1272.21,1349.48,28632.09,3143.9,10846.44,8986.74,9451.67,39154.82,452.93,1298.85,14724.35,1774.44,40847.99,18494.36,34364.37,5094.18,3369.03,41335.56,45381.33,952.49,406.31,1571.95,59.95,623.45,419.63,15471.69,8400.59,841.92,157.19,1377.45,563.5,54.62,901.87,29781.75,209175.6,26909.61,193.16,8681.68,12650.18,176701.6,66.61,15381.11,3760.68,3698.07,7677.23,191.83,209.15
186.84,245.45,4.88,29908.85,17152.53,8145.19,3993.22,51185.26,4667.3,10086.85,13061.61,6.11,190.5,16250.08,42606.55,25533.4,19873.29,21022.41,609.36,278.43,214.93,114.79,13.43,7.33,151.42,28.09,109.91,17.1,117.23,9.77,68.39,14.65,84454.76,19885.5,49188.65,78.15,16225.66,35111.02,42087.56,24703.01,31.75,17286.85,17711.82,21872.34,7.33,4745.46,1951.43,362.69,36582.53,33492.98,851.15,67330.32,25098.67,96.47,68.39,16859.45,36.64,2299.46,43753.23,31794.33,4077.48,72.05,6.11,6511.27,16596.9,218.59,192.94,6.11,7405.16,4.88,296.74,3786.84,19041.67,13385.22,1290.77,87.92,22364.47,28.09,32.97,42650.52,40855.4,48359.48,65691.51,1801.22,1759.7,41069.1,3002.85,19938.01,15452.66,12005.3,54516.61,719.27,2096.75,21902.87,2673.14,55321.36,23737.06,47148.08,6908.15,5238.81,63291.92,75807.67,1726.73,603.26,2249.39,85.48,954.95,584.94,22971.39,12355.78,1307.87,252.78,2177.34,698.51,97.69,1226.05,42110.76,261229.8,36798.68,256.45,12306.93,19765.83,274706.6,135.55,21877.23,5822.53,5824.97,10447.09,300.41,285.75
136.46,214.43,2.6,22503.48,13011.37,6863.07,2849.97,40181.63,4150.85,7700,10529.18,1.3,162.45,12743.65,32025.48,21515.8,15435.08,15941.91,426.26,239.12,132.56,114.36,16.89,3.9,137.76,20.79,87.07,16.89,97.47,7.8,58.48,14.3,64366.76,14878.86,38875.55,49.38,13132.23,28272.3,31922.82,20004.39,37.69,13818.41,13714.44,15906.83,5.2,3395.8,1512.71,279.41,26559.46,24650.38,593.91,55316.51,17709.34,76.68,50.68,13325.87,45.49,1788.22,33165.21,24951.88,2890.26,48.08,11.7,5414.04,13293.38,172.84,145.55,5.2,6158.7,2.6,235.22,3134.58,16018.59,10666.93,1008.47,76.68,17036.16,29.89,31.19,31323.71,31006.61,39542.24,52831.72,1534.8,1395.75,29337.96,1985.75,14455.2,11120.48,9168.52,44235.01,625.1,1633.57,17355.85,2063.73,46177.88,20097.96,38253.06,5280.18,4218.43,47897.22,55662.19,1312.57,444.46,1699.85,90.97,770.65,454.85,18708.71,9627.27,1111.14,233.92,1719.34,631.59,83.17,939.59,34039.83,211085.1,27787.56,246.92,9146.42,15451.97,214821.4,114.36,17696.34,4267.81,4406.87,8688.97,269.01,196.24
145.32,211.83,9.03,22725.58,13206.43,6537.94,2981.2,40106.18,3849.04,7755.55,10708.01,2.46,165.03,12756.5,32845.72,20886.45,15475.79,16142.47,435.97,253.7,159.28,91.14,21.35,7.39,124.8,13.96,93.6,8.21,101.81,11.49,54.19,16.42,64967.28,15179.39,38630.77,62.4,13027.45,28040.17,31487.72,19569.5,27.92,13650.62,13754.07,16366.62,1.64,3449.19,1463.09,265.2,27118.96,25287.22,640.41,54607.4,18290.32,69.79,49.26,13217.93,45.98,1762.77,33128.16,24430.06,3032.1,50.9,5.75,5219.35,13355.04,178.17,138.76,4.11,5829.39,2.46,266.84,2991.87,15517.66,10487.15,986.07,80.46,17201.62,27.09,29.56,31754.56,31013.16,38900.07,52290.42,1412.19,1338.3,30151.07,2142.09,14727.82,11437.09,9178.41,43868.19,621.53,1613.34,17212.29,2014.83,44688.41,19320.72,37631.56,5319.52,4092.07,48509.53,56951.47,1329.26,463.07,1761.95,81.28,699.53,421.19,18480.8,9258.05,1017.27,198.69,1653.58,509.87,77.18,954.87,34211.93,209065.6,28381.72,194.59,9333.59,15531.62,215021.4,117.41,17415.09,4394.21,4489.45,8215.33,256.99,203.62
186.3,288.6,10.77,32083.16,18901.21,8859.4,4229.94,56081.19,5148.51,10662.08,14111.29,1.08,212.14,17605.73,46263.37,27573.23,20908.49,22331.03,619.2,357.52,212.14,132.45,25.84,2.15,152.92,19.38,132.45,21.54,123.84,20.46,77.53,18.31,90376.24,21155.09,53708.85,100.15,17746.8,38105.01,45904.78,26015,34.46,18696.6,19182.27,24396.47,6.46,5172.2,2055.74,382.29,38881.44,35764.98,973.49,73042.96,26637.43,87.23,58.15,18334.77,49.54,2450.95,46858.88,34248.75,4273.02,70,4.31,6852.12,18039.71,234.76,186.3,9.69,7912.83,5.38,333.83,3896.11,20448.67,14448.35,1325.63,94.76,23616.82,40.92,50.61,45031.44,43800.57,51370.96,70567.23,1945.9,1902.83,43646.58,3217.68,21708.6,16929.46,12611.21,58218.77,802.27,2224.81,23678.2,2690.02,58343.69,25363.5,49505.83,7417.47,5754.79,68218.58,82635.71,1925.44,642.89,2477.88,99.07,1013.33,603.05,24243.55,13203.49,1365.47,256.29,2401.42,775.35,109.84,1319.16,45057.28,279221.4,39619.09,282.14,12987.04,20968.8,294536.6,149.68,23517.74,6468.75,6176.92,11020.68,358.6,287.52
219.48,354.19,10.36,36606.66,21667.65,10036.9,4438.66,60473.85,5116.89,11778.64,16366.13,5.65,180.86,20320.6,48957.09,30415.91,23919,25443.14,719.68,311.8,237.38,152.6,18.84,5.65,146.95,20.72,107.39,17.9,107.39,6.59,66.88,19.78,94753.8,25365.9,57298.41,80.07,21850.39,30483.73,45954.03,29738.61,34.85,18878.42,19524.62,28157.96,8.48,5733.89,2967.27,360.78,45631.86,30942.48,1358.35,73709.75,29794.19,79.13,66.88,21426.5,75.36,3048.28,55285.38,47520.55,5193.19,60.29,6.59,8516.53,20696.46,193.11,163.91,8.48,8687.03,11.3,375.85,4300.18,22790.5,18539.3,1588.19,85.72,23831.4,32.03,50.87,48392.84,48585,55819.48,74106.33,2226.86,2212.73,57151.46,10251.67,19457.74,17505.94,17498.4,59404.7,656.57,1862.31,28026.08,3426.02,48890.21,33470.78,52883.3,7509.54,5084.86,54796.48,89975.09,1610.8,500.2,2522.65,80.07,1151.11,523.75,24460.65,13092.71,1564.64,278.83,2752.49,666.93,81.01,1217.99,44280.11,343657.6,58789.58,400.35,17990.12,29079.22,274454.3,91.37,26037.54,5805.48,6094.67,12355.14,258.11,255.28
205.21,256.98,10.35,26942.24,16214.1,8203.54,3215.52,47462.84,4487.24,9076.13,13271.56,4.71,137.43,15920.41,36106.85,25588.63,18715.17,19615.06,649.51,273.92,178.85,133.67,29.18,14.12,134.61,26.36,84.72,7.53,94.13,7.53,45.18,15.06,72994.05,18911.9,45638.58,76.25,17350.27,24862.88,35168.36,23695.65,27.3,15695.44,15253.96,20547.9,7.53,4088.12,2412.58,328.52,33037.23,23062.15,1075.92,59888.16,21277.42,77.19,58.36,16947.38,46.12,2430.47,41100.51,36892.85,3834.91,61.19,3.77,7175.62,16697,165.67,138.37,2.82,7061.72,6.59,272.04,3650.41,18990.03,14649.64,1347.96,80.95,18012.95,39.54,35.77,35543.95,35894.12,45643.29,59965.35,1829.91,1678.36,41158.88,7051.37,14403.96,12735.95,13644.32,48129.29,565.73,1491.98,22300.63,2578.25,41259.6,28658.25,42789.23,5881.32,3886.68,41551.4,66084.82,1181.35,403.82,1989.93,74.36,915.9,411.35,20100.78,9980.73,1301.83,195.79,2139.6,582.67,70.6,957.31,35775.51,276548.1,44888.35,343.58,13340.28,22637.62,216686.3,71.54,20896.19,4187.9,4651.96,10247.12,186.38,206.15
