Gene.name,Genes,Gene_B73v3,X,X.1,X.2,X.3,X.4,X.5
ATCG00350,psaA,light reaction,ATCG00350.1,"Photosystem I, PsaA/PsaB protein",Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome.,"PSAA; FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I, PsaA/PsaB (InterPro:IPR001280), Photosystem I psaA/psaB, conserved site (InterPro:IPR020586), Photosystem I psaA (InterPro:IPR006243); BEST Arabidopsis thaliana protein match is: Photosystem I, PsaA/PsaB protein (TAIR:ATCG00340.1).",PSAA,---
ATCG00340,psaB,light reaction,ATCG00340.1,"Photosystem I, PsaA/PsaB protein",Encodes the D1 subunit of photosystem I  and II reaction centers.,"PSAB; FUNCTIONS IN: chlorophyll binding; INVOLVED IN: photosynthesis, light harvesting in photosystem II, photosynthesis, light harvesting in photosystem I; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I psaB (InterPro:IPR006244), Photosystem I, PsaA/PsaB (InterPro:IPR001280), Photosystem I psaA/psaB, conserved site (InterPro:IPR020586); BEST Arabidopsis thaliana protein match is: Photosystem I, PsaA/PsaB protein (TAIR:ATCG00350.1).",PSAB,---
ATCG01060,psaC,light reaction,ATCG01060.1,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",Encodes the PsaC subunit of photosystem I.,"PSAC; FUNCTIONS IN: 4 iron, 4 sulfur cluster binding, electron carrier activity, iron-sulfur cluster binding; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast stromal thylakoid, chloroplast thylakoid membrane, photosystem I, chloroplast, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 4Fe-4S binding domain (InterPro:IPR001450), 4Fe-4S ferredoxin, iron-sulphur binding, conserved site (InterPro:IPR017900), 4Fe-4S ferredoxin, iron-sulpur binding domain (InterPro:IPR017896), Photosystem I,  PsaC (InterPro:IPR017491).",PSAC,---
AT4G02770,PsaD1,light reaction,AT4G02770.1,photosystem I subunit D-1,Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD1),photosystem I subunit D-1 (PSAD-1); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I protein PsaD (InterPro:IPR003685); BEST Arabidopsis thaliana protein match is: photosystem I subunit D-2 (TAIR:AT1G03130.1); Has 510 Blast hits to 510 proteins in 137 species: Archae - 0; Bacteria - 143; Metazoa - 0; Fungi - 0; Plants - 166; Viruses - 3; Other Eukaryotes - 198 (source: NCBI BLink).,PSAD-1,photosystem I subunit D-1
AT1G03130,PsaD2,light reaction,AT1G03130.1,photosystem I subunit D-2,Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD2),photosystem I subunit D-2 (PSAD-2); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: in 6 components; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I protein PsaD (InterPro:IPR003685); BEST Arabidopsis thaliana protein match is: photosystem I subunit D-1 (TAIR:AT4G02770.1); Has 509 Blast hits to 509 proteins in 136 species: Archae - 0; Bacteria - 143; Metazoa - 0; Fungi - 0; Plants - 165; Viruses - 3; Other Eukaryotes - 198 (source: NCBI BLink).,PSAD-2,photosystem I subunit D-2
AT4G28750,PsaE1,light reaction,AT4G28750.1,Photosystem I reaction centre subunit IV / PsaE protein,mutant has Decreased effective quantum yield of photosystem II; Pale green plants; Reduced growth rate; Subunit E of Photosystem I,"PSA E1 KNOCKOUT (PSAE-1); FUNCTIONS IN: catalytic activity; INVOLVED IN: response to salt stress; LOCATED IN: in 6 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit IV/PsaE (InterPro:IPR003375), Electron transport accessory protein (InterPro:IPR008990); BEST Arabidopsis thaliana protein match is: photosystem I subunit E-2 (TAIR:AT2G20260.1); Has 449 Blast hits to 449 proteins in 133 species: Archae - 0; Bacteria - 180; Metazoa - 5; Fungi - 0; Plants - 90; Viruses - 3; Other Eukaryotes - 171 (source: NCBI BLink).",PSAE-1,PSA E1 KNOCKOUT
AT2G20260,PsaE2,light reaction,AT2G20260.1,photosystem I subunit E-2,Encodes subunit E of photosystem I.,"photosystem I subunit E-2 (PSAE-2); FUNCTIONS IN: catalytic activity; INVOLVED IN: photosynthesis; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, plastoglobule, photosystem I reaction center; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit IV/PsaE (InterPro:IPR003375), Electron transport accessory protein (InterPro:IPR008990); BEST Arabidopsis thaliana protein match is: Photosystem I reaction centre subunit IV / PsaE protein (TAIR:AT4G28750.1); Has 441 Blast hits to 441 proteins in 130 species: Archae - 0; Bacteria - 177; Metazoa - 0; Fungi - 0; Plants - 90; Viruses - 3; Other Eukaryotes - 171 (source: NCBI BLink).",PSAE-2,photosystem I subunit E-2
AT1G31330,PsaF,light reaction,AT1G31330.1,photosystem I subunit F,Encodes subunit F of photosystem I.,"photosystem I subunit F (PSAF); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre protein PsaF, subunit III (InterPro:IPR003666); Has 387 Blast hits to 387 proteins in 119 species: Archae - 0; Bacteria - 139; Metazoa - 0; Fungi - 0; Plants - 79; Viruses - 6; Other Eukaryotes - 163 (source: NCBI BLink).",PSAF,photosystem I subunit F
AT1G55670,PsaG,light reaction,AT1G55670.1,photosystem I subunit G,"Encodes subunit G of photosystem I, an 11-kDa membrane protein that plays an  important role in electron transport between plastocyanin and PSI and is involved in  the stability of the PSI complex. PSI-G subunit is bound to  PSI-B and is in contact with Lhca1. The protein inserts into thylakoids by  a direct or ""spontaneous"" pathway that does not involve the activities of  any known chloroplast protein-targeting machinery. PSI-G appears to be directly or indirectly involved in the interaction between Photosystem I and plastocyanin.","photosystem I subunit G (PSAG); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthetic NADP+ reduction, photosystem I stabilization, protein stabilization, photosynthetic electron transport in photosystem I, photosynthesis; LOCATED IN: in 7 components; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre, PsaG, plant (InterPro:IPR017494), Photosystem I PsaG/PsaK protein (InterPro:IPR000549), Photosystem I reaction centre, PsaG/PsaK, plant (InterPro:IPR016370); Has 117 Blast hits to 117 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 117; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",PSAG,photosystem I subunit G
AT3G16140,PsaH1,light reaction,AT3G16140.1,photosystem I subunit H-1,Encodes subunit H of photosystem I reaction center subunit VI.,"photosystem I subunit H-1 (PSAH-1); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photosynthesis; LOCATED IN: chloroplast thylakoid membrane, chloroplast, photosystem I reaction center; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit VI (InterPro:IPR004928); BEST Arabidopsis thaliana protein match is: photosystem I subunit H2 (TAIR:AT1G52230.1); Has 102 Blast hits to 102 proteins in 31 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 100; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).",PSAH-1,photosystem I subunit H-1
